trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toM_241500,24:22:30,24:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_243000,24:30:00,24:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_243000,24:37:30,24:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_244500,24:45:00,24:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_244500,24:52:30,24:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_250000,25:00:00,25:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_250000,25:07:30,25:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_251500,25:15:00,25:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_251500,25:22:30,25:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_253000,25:30:00,25:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_253000,25:37:30,25:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_254500,25:45:00,25:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_254500,25:52:30,25:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toRI_060730,06:07:30,06:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_060730,06:15:00,06:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_062230,06:22:30,06:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_062230,06:30:00,06:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_063730,06:37:30,06:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_063730,06:45:00,06:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_065230,06:52:30,06:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_065230,07:00:00,07:00:30,1,2,,0,0,,,0.956,1
